zOTU	phylum	custom_taxon	class	order	family	genus	species	E2024STF1009PC_KB_Zenne1_Aquatisch.Beheer_1	E2024STF1009PC_KB_Zenne1_Aquatisch.Beheer_2	E2024STF1009PC_KB_Zenne1_Aquatisch.Beheer_3	E2024STF992PC_KB_Molenbeek2a_Aquatisch.Beheer_1	E2024STF992PC_KB_Molenbeek2a_Aquatisch.Beheer_2	E2024STF992PC_KB_Molenbeek2a_Aquatisch.Beheer_3	E2024STF1010PC_KB_Molenbeek2b_Aquatisch.Beheer_1	E2024STF1010PC_Molenbeek2b_Aquatisch.Beheer_2	E2024STF1010PC_Molenbeek2b_Aquatisch.Beheer_3	E2024STF994PC_Kester4a_Aquatisch.Beheer_1	E2024STF994PC_Kester4a_Aquatisch.Beheer_2	E2024STF994PC_Kester4a_Aquatisch.Beheer_3	E2024STF995PC_Kester4b_Aquatisch.Beheer_1	E2024STF995PC_Kester4b_Aquatisch.Beheer_2	E2024STF995PC_Kester4b_Aquatisch.Beheer_3
zOTU31	Chordata	Fish	Actinopteri	Cypriniformes	Acheilognathidae	Rhodeus	Rhodeus amarus	0.0109444206315188	0.00443137848295541	0.00395175379220093	0.00250511508226639	0	0.0508851519545709	0.0915783664914565	0.158463828640793	0.0604513117254619	0	0	0	0	0	0
zOTU33	Chordata	Fish	Actinopteri	Cypriniformes	Nemacheilidae	Barbatula	Barbatula barbatula	0.00459351335905129	0.00825749551458032	0.00464153789622295	0.00750400988443598	0.0300215987078919	0.0296357204372989	0.0150503561977851	0.0345105449579852	0.0171379583535456	0.10276648961111	0.135724595808416	0.143063120037511	0.160323220964611	0.232659797218154	0.200337551091441
zOTU37	Chordata	Fish	Actinopteri	Perciformes	Cottidae	Cottus	Cottus perifretum	0	0.00168608547156352	0	0.000634780292338995	0.0501585750558974	0	0.106097774380885	0	0.0606255741020763	0	0	0	0	0	0
zOTU4	Chordata	Fish	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus	0.0278468352621803	0.0275970399832833	0.0272690351403098	0.177500439245292	0.0499739606737806	0.041297360892044	0.0295744764721628	0.0527077886421075	0.0317966845957259	0.102324986460726	0.129156433091105	0.144710829661394	0.149046067607719	0.152242565596508	0.169921709340153
zOTU42	Chordata	Fish	Actinopteri	Esociformes	Esocidae	Esox	Esox lucius	0	0.000302630725665247	0	0	0	0.0671450113097656	0.108093399065828	0	0.0456016144777551	0	0	0	0	0	0
zOTU45	Chordata	Fish	Actinopteri	Cypriniformes	Cyprinidae	Barbus	Barbus barbus	0.00321474496356622	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU49	Chordata	Fish	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla	0.0137591084440634	0.0182371039680653	0.0269982787630302	0.0144922607813465	0.0811696616391379	0.0713195797233107	0.033646467612663	0.0579812230690504	0.0781799640135032	0	0	0	0	0	0
zOTU5	Chordata	Fish	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	0.0555865123589084	0.0495089456201408	0.0894785361105202	0.132204331241959	0.0251689053556401	0.0261840802410065	0.0163023331357285	0.0231063539009534	0.0233970679253188	0.138556371080171	0.143781868461069	0.170439734069913	0.167665214819945	0.136401994568197	0.166491933303713
zOTU53	Chordata	Fish	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus leuciscus	0	0	1.28931608228415e-05	0	0.0051073568546962	0.0404892715760168	0.081692923929931	0.0789824860678655	0.0841148194524947	0	0	0	0	0	0
zOTU61	Chordata	Fish	Actinopteri	Perciformes	Percidae	Gymnocephalus	Gymnocephalus cernua	0	0	0	0.00214238348664411	0.0927871108403063	0	0	0	0.0955395259347416	0	0	0	0	0	0
zOTU7	Chordata	Fish	Actinopteri	Cypriniformes	Leuciscidae	Scardinius	Scardinius erythrophthalmus	0.000121445920845835	5.04384542775412e-05	2.5786321645683e-05	0.000606441886431004	0.0471665233902251	0.100347152034234	0.087793000460277	0.0209634927705582	0.0263002702740385	0	0	0.016821962101035	0	0	0
zOTU8	Chordata	Fish	Actinopteri	Cypriniformes	Gobionidae	Gobio	Gobio gobio	0.804900700100014	0.797950757657638	0.760619129582713	0.365321725922273	0.070537945590388	0.0683396118286258	0.0399418942582618	0.0693954032749628	0.0467626142437813	0.0866330843323717	0.077020881906058	0.0935437328083825	0.0887946369708753	0.0973512649775038	0.138065114471316
