zOTU	phylum	custom_taxon	class	order	family	genus	species	E2024STF1009PC_KB_Zenne1_Aquatisch.Beheer_1	E2024STF1009PC_KB_Zenne1_Aquatisch.Beheer_2	E2024STF1009PC_KB_Zenne1_Aquatisch.Beheer_3	E2024STF992PC_KB_Molenbeek2a_Aquatisch.Beheer_1	E2024STF992PC_KB_Molenbeek2a_Aquatisch.Beheer_2	E2024STF992PC_KB_Molenbeek2a_Aquatisch.Beheer_3	E2024STF1010PC_KB_Molenbeek2b_Aquatisch.Beheer_1	E2024STF1010PC_Molenbeek2b_Aquatisch.Beheer_2	E2024STF1010PC_Molenbeek2b_Aquatisch.Beheer_3	E2024STF994PC_Kester4a_Aquatisch.Beheer_1	E2024STF994PC_Kester4a_Aquatisch.Beheer_2	E2024STF994PC_Kester4a_Aquatisch.Beheer_3	E2024STF995PC_Kester4b_Aquatisch.Beheer_1	E2024STF995PC_Kester4b_Aquatisch.Beheer_2	E2024STF995PC_Kester4b_Aquatisch.Beheer_3
zOTU10	Chordata	Fish	Actinopteri	Cypriniformes	Leuciscidae	Abramis	Abramis brama	0.00889412773253322	0.00190945576907835	0.00486716821062268	0.0352529769495406	0.0479315487877279	0.081615303378552	0.0743654934325645	0.0637973915854456	0.0634797364362996	0	0	0	0	0	0
zOTU12	Chordata	Fish	Actinopteri	Perciformes	Percidae	Sander	Perca fluviatilis	0	0.00136904375896183	0	0	0.103539167813334	0.0803813748831593	0.0620268253069275	0.125380716327712	0	0	0	0	0	0	0
zOTU13	Chordata	Fish	Actinopteri	Cypriniformes	Leuciscidae	Squalius	Squalius cephalus	0.0295327903986284	0.0359193849390776	0.0335480044610336	0.200522560204943	0.0734244148431795	0.0722226735473304	0.0529608283131013	0.0738450675956616	0.0565979703491382	0.0531190065798606	0.0708817152461543	0.0694360559192769	0.0555597706547663	0.0730581989379616	0.0401381235129665
zOTU14	Chordata	Fish	Actinopteri	Cypriniformes	Cyprinidae	Cyprinus	Cyprinus carpio	0.00445777968281183	0.0115432005360887	0.00752315934012803	0.0248867880683976	0.0745274935508201	0.0560208032944938	0.0186602616390519	0.0457769353710151	0.0398524146061019	0.0786914564681455	0.199368430769871	0.0825400716440566	0.116559135717834	0.0769348815132914	0.0631314297638582
zOTU15	Chordata	Fish	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius unclassified	0.00324332047435348	0.00288940288075629	0.00334577523352738	0.0325268223011919	0.0908711596625662	0.0730613659583179	0.0323253586807876	0.101964924456087	0.0675552778312611	0	0	0	0	0	0
zOTU16	Chordata	Fish	Actinopteri	Cypriniformes	Gobionidae	Pseudorasbora	Pseudorasbora parva	0	0.0115648170164934	0	0	0	0	0	0	0	0.116864301350479	0.182494959777808	0.205039133947256	0.192585273678611	0.112307047974808	0.142050797426064
zOTU25	Chordata	Fish	Actinopteri	Gobiiformes	Gobiidae	Neogobius	Neogobius melanostomus	0.0313830547221032	0.0262640236916625	0.0350887371793632	0.00132056971531237	0.097558660291221	0.0754667087208328	0.0517034122693571	0.0702050970811433	0.0536905897119485	0	0	0	0	0	0
zOTU29	Chordata	Fish	Actinopteri	Cypriniformes	Leuciscidae	Alburnus	Alburnus sp.	0.00152164594942135	0.000518795529711852	0.000367455083450983	0.00257879493762717	0.0525090727507006	0.0655888302204406	0.098186828353231	0.0229187462586596	0.0318411382890086	0.0346015994529158	0.0436039401830171	0.049348063146045	0.0407393187424366	0.0832313776144825	0.0526303406890811
zOTU3	Chordata	Fish	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius pungitius	0	0	1.28931608228415e-05	0	0.00754684419248698	0	0	0	0	0.286442704664221	0.0179671747565006	0.0250572966651304	0.0287273608432014	0.0358128715990938	0.0272330004014069
zOTU30	Chordata	Fish	Actinopteri	Cypriniformes	Tincidae	Tinca	Tinca tinca	0	0	0.00224985656358585	0	0	0	0	0	0.117075467677799	0	0	0	0	0	0
