species	averaged_E2024STF1009PC_KB_Zenne1_Aquatisch.Beheer_1	averaged_E2024STF992PC_KB_Molenbeek2a_Aquatisch.Beheer_1	averaged_E2024STF1010PC_KB_Molenbeek2b_Aquatisch.Beheer_1	averaged_E2024STF994PC_Kester4a_Aquatisch.Beheer_1	averaged_E2024STF995PC_Kester4b_Aquatisch.Beheer_1
Abramis brama	0.00522358390407808	0.0549332763719402	0.0672142071514366	0	0
Perca fluviatilis	0.000456347919653944	0.0613068475654978	0.0624691805448798	0	0
Squalius cephalus	0.0330000599329132	0.115389882865151	0.061134622085967	0.0644789259150973	0.0562520310352315
Cyprinus carpio	0.00784137985300952	0.0518116949712372	0.0347632038720563	0.120199986294024	0.0855418156649946
Carassius unclassified	0.00315949952954571	0.0654864493073587	0.0672818536560454	0	0
Pseudorasbora parva	0.00385493900549779	0	0	0.168132798358514	0.148981039693161
Neogobius melanostomus	0.030911938531043	0.0581153129091221	0.0585330330208163	0	0
Alburnus sp.	0.000802632187528061	0.0402255659695895	0.050982237633633	0.0425178675939926	0.0588670123486667
Pungitius pungitius	4.29772027428051e-06	0.00251561473082899	0	0.109822392028617	0.0305910776145674
Tinca tinca	0.000749952187861949	0	0.0390251558925997	0	0
Rhodeus amarus	0.00644251763555837	0.0177967556789458	0.103497835619237	0	0
Barbatula barbatula	0.00583084892328485	0.0223871096765423	0.022232953169772	0.127184735152345	0.197773523091402
Cottus perifretum	0.000562028490521173	0.0169311184494121	0.0555744494943205	0	0
Rutilus rutilus	0.0275709701285911	0.0895905869370387	0.0380263165699987	0.125397416404408	0.15707011418146
Esox lucius	0.000100876908555082	0.0223816704365885	0.0512316711811944	0	0
Barbus barbus	0.00107158165452207	0	0	0	0
Anguilla anguilla	0.0196648303917196	0.0556605007145984	0.0566025515650722	0	0
Gasterosteus aculeatus	0.0648579980298565	0.0611857722795352	0.0209352516540002	0.150925991203718	0.156853047563952
Leuciscus leuciscus	4.29772027428051e-06	0.015198876143571	0.081596743150097	0	0
Gymnocephalus cernua	0	0.0316431647756501	0.0318465086449139	0	0
Scardinius erythrophthalmus	6.58902322563531e-05	0.0493733724369633	0.0450189211682912	0.00560732070034499	0
Gobio gobio	0.787823529113455	0.168066427780429	0.0520333039256686	0.0857325663489374	0.108070338806565
