"name","lat","lon","alt","acc","time","desc","attachments","custom_coords"
"kb1a","50.753594","4.289106","52","3.79","2025-06-17T09:06:11.978+0200","","",""
"kb1b","50.753698","4.289553","45","3.95","2025-06-17T09:58:26.210+0200","","",""
"kb2a","50.754344","4.294047","52","9.94","2025-06-17T10:21:53.621+0200","","",""
"kb2b","50.754571","4.294572","49","3.79","2025-06-17T11:05:49.111+0200","","",""
"kb3a","50.754597","4.294642","46","3.79","2025-06-17T11:28:05.072+0200","","",""
"kb3b","50.754622","4.294924","51","3.79","2025-06-17T11:45:51.282+0200","","",""
"kb4a","50.754243","4.297310","61","4.10","2025-06-17T12:36:01.944+0200","","",""
"kb4b","50.754210","4.297825","57","3.79","2025-06-17T13:04:12.603+0200","","",""
"kb5a","50.754843","4.301758","59","3.79","2025-06-18T09:04:00.590+0200","","",""
"kb5b","50.754652","4.302354","61","3.79","2025-06-18T09:07:24.791+0200","","",""
"kb7a","50.751818","4.307212","","","2025-06-18T10:26:28.948+0200","","",""
"kb7b","50.751722","4.307934","79","3.79","2025-06-18T10:26:54.215+0200","","",""
"kb8a","50.751435","4.308456","69","3.79","2025-06-18T10:32:39.636+0200","","",""
"kb8b","50.751122","4.308754","72","3.79","2025-06-18T11:04:12.743+0200","","",""
"kb6a","50.753117","4.304730","","","2025-06-18T11:40:56.341+0200","","",""
"kb6b","50.752677","4.304897","","","2025-06-18T11:41:13.671+0200","","",""
