WKT,name,description
"POINT (4.3029449 50.7540708)",stuw,verval 50 cm
"POINT (4.3010315 50.7549704)",stuw,verval 50 cm
"POINT (4.2984605 50.754419)",stuw,verval 30 cm
"POINT (4.2946359 50.7545658)",stuw,verval 40 cm
"POINT (4.2933583 50.7541215)",stuw,verval 30 cm
