WKT,X,Y,name,description
POINT,4.2574035,50.7510256,locatie 1,edna
POINT,4.278403,50.7465728,locatie 2,edna
POINT,4.2795232,50.7477094,locatie 3,elektrisch vissen
POINT,4.288846,50.7535662,locatie 4,edna en elektrisch vissen
POINT,4.2953945,50.7546509,locatie 5,elektrisch vissen
POINT,4.301915,50.7547901,locatie 6,elektrisch vissen
POINT,4.3046446,50.7531977,locatie 7,edna en elektrisch vissen
