"name","lat","lon","alt","acc","time","desc","attachments","custom_coords"
"2025-09-12 08:11:08","50.753654","4.289320","41","3.79","2025-09-12T08:14:15.675+0200","kb-mi-1","./kb-mi-attachments/p_2025-09-12_08-_20250912_081354.jpg|./kb-mi-attachments/p_2025-09-12_08-_20250912_081406.jpg",""
"kb-mi-2","50.754426","4.294339","46","3.79","2025-09-12T08:43:33.771+0200","","./kb-mi-attachments/p_kb-mi-2_20250912_084315.jpg|./kb-mi-attachments/p_kb-mi-2_20250912_084327.jpg",""
"kb-mi-3","50.755004","4.296414","52","4.92","2025-09-12T09:07:00.863+0200","","./kb-mi-attachments/p_kb-mi-3_20250912_090643.jpg|./kb-mi-attachments/p_kb-mi-3_20250912_090654.jpg",""
"kb-mi-3b","50.754874","4.300464","58","3.79","2025-09-12T09:36:11.429+0200","","./kb-mi-attachments/p_kb-mi-3b_20250912_093547.jpg|./kb-mi-attachments/p_kb-mi-3b_20250912_093557.jpg",""
"kb-mi-4","50.754532","4.302605","62","3.79","2025-09-12T10:01:17.677+0200","","./kb-mi-attachments/p_kb-mi-4_20250912_100058.jpg|./kb-mi-attachments/p_kb-mi-4_20250912_100111.jpg",""
"kb-mi-5","50.751290","4.308569","82","3.79","2025-09-12T10:38:21.726+0200","","./kb-mi-attachments/p_kb-mi-5_20250912_103759.jpg|./kb-mi-attachments/p_kb-mi-5_20250912_103813.jpg",""
